,longitude,latitude,date,month,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-115.17660000000001,56.17275,2019-01-01,01,D,5.880944,0.08428277,270.7596,270.76157,271.31094,273.18994,275.6859,3,4.6102978e-06,0.46348366,0.45710522,0.45432472,0.44075108
1,-122.7407,55.9807,2019-01-01,01,N,2.2246459,2.244934,270.42133,272.76712,272.05945,272.21967,273.90836,1,6.7284825e-05,0.21723573,0.21531637,0.21337944,0.26340014
2,-110.53134285714285,55.062799999999996,2019-01-03,01,D,4.9175367,0.3342314,274.05685,272.1648,270.41327,273.0021,275.51877,6,0.0,0.58140403,0.532569,0.53874725,0.54870874
3,-122.1109,51.2238,2019-01-05,01,D,-0.5010817,2.260745,269.02017,272.81625,271.81427,273.14188,275.20996,2,2.9835821e-06,0.3338084,0.33136266,0.33399758,0.3198639
4,-115.2146,52.5133,2019-01-07,01,D,0.70199263,-2.1319437,262.64496,266.58813,271.58405,272.97385,274.94495,2,7.862007e-05,0.33261093,0.33181635,0.33684143,0.3556443
5,-115.7212,54.729,2019-01-11,01,N,0.94271207,2.0241716,269.52722,267.80066,271.97913,273.27405,274.60974,2,0.0,0.35116422,0.35197788,0.34358084,0.36421248
6,-115.97835,54.06745,2019-01-12,01,D,2.0876284,0.32529536,267.56265,268.94998,271.90826,273.213,274.67868,2,0.0,0.34946072,0.35089025,0.3576669,0.35945135
7,-115.79132,54.38532,2019-01-13,01,D,-0.75912064,-0.3711994,268.93906,270.9645,271.8439,273.24524,274.5971,2,4.8379516e-05,0.35121313,0.3519852,0.35463235,0.36233526
8,-115.73406,54.7207,2019-01-13,01,N,0.24871199,0.49098742,271.98795,270.91736,271.818,273.24985,274.5516,2,0.0,0.35030934,0.34991258,0.34451354,0.36414376
9,-117.08506666666666,54.1285,2019-01-14,01,D,2.3200123,2.5686133,265.11124,270.69357,271.91107,273.32523,274.79675,2,0.0,0.36549532,0.36731052,0.37114176,0.37987718
10,-118.7706,54.3505,2019-01-15,01,D,-0.053279553,0.750476,263.544,271.61685,271.79526,272.9704,274.4514,2,2.4116976e-06,0.3431922,0.34323847,0.34031013,0.36106414
11,-117.46028000000001,53.739779999999996,2019-01-21,01,D,2.8755002,0.43584055,267.5178,269.6123,270.61887,272.95312,274.4074,2,4.4618744e-05,0.36049622,0.36282927,0.36624712,0.39787713
12,-118.59055,54.8308375,2019-01-24,01,D,5.3237467,-0.1994881,269.60596,271.0737,272.00183,273.31085,274.96207,2,1.5286154e-05,0.39255986,0.3944943,0.39629447,0.39023995
13,-120.1639,55.0171,2019-01-27,01,N,2.235042,-2.4840138,271.24158,273.07983,272.35428,272.7762,274.15073,2,5.966095e-05,0.3907569,0.38103953,0.3282023,0.35416088
14,-117.46771428571428,52.43974285714285,2019-01-29,01,D,-0.53686833,0.8640465,255.69017,272.384,272.60135,273.156,273.91956,1,0.0,0.19740342,0.19908154,0.19614713,0.25156915
15,-115.49369999999999,52.2106,2019-02-22,02,D,3.3522954,2.1921153,260.5687,267.98767,268.62766,270.22025,273.7102,2,1.095248e-06,0.31471083,0.30699152,0.30672854,0.3424743
16,-115.59979999999999,53.3984,2019-02-27,02,D,3.8081882,0.50626093,257.41687,269.88522,271.2049,272.71616,274.4845,2,0.0,0.45530283,0.4541945,0.4593536,0.47339085
17,-121.4491,51.6509,2019-02-28,02,D,1.5631981,-0.19656393,259.20856,272.9075,272.6078,273.13852,274.0458,2,6.308329e-07,0.33482054,0.3387585,0.3495462,0.34764683
18,-118.907,54.7499,2019-03-17,03,D,4.024088,2.234781,273.78494,272.89743,271.94144,272.73273,273.89957,2,0.0,0.3994943,0.38355523,0.37564832,0.3838502
19,-126.8947,54.7667,2019-03-18,03,N,-0.39108908,0.4504885,281.97696,272.1214,272.46475,272.86603,273.77283,2,0.0,0.33930254,0.32560676,0.3393162,0.34119943
20,-124.6629,53.0534,2019-03-19,03,D,-0.8790792,2.1793394,266.32068,270.74185,272.2747,272.7262,273.77112,2,0.0,0.38740507,0.37442157,0.34300599,0.35688224
